word,phonetic,translation,bookId
abandon,/əˈbændən/,v. 抛弃；放弃,SENIOR_HIGH,0
phenomenon,/fɪˈnɒmɪnən/,n. 现象；奇迹,SENIOR_HIGH,1
genuine,/ˈdʒenjuɪn/,adj. 真正的；真诚的,SENIOR_HIGH,0
accommodation,/əˌkɒməˈdeɪʃn/,n. 住宿；膳宿,SENIOR_HIGH,1
budget,/ˈbʌdʒɪt/,n. 预算；v. 做预算,SENIOR_HIGH,0
circumstance,/ˈsɜːkəmstæns/,n. 环境；情况,SENIOR_HIGH,1
declare,/dɪˈkleə/,v. 宣布；声明,SENIOR_HIGH,0
extraordinary,/ɪkˈstrɔːdnri/,adj. 非凡的；特别的,SENIOR_HIGH,1
absorb,/əbˈzɔːb/,v. 吸收；吸引,SENIOR_HIGH,0
opportunity,/ˌɒpəˈtjuːnəti/,n. 机会；时机,SENIOR_HIGH,1
betray,/bɪˈtreɪ/,v. 背叛；泄露,SENIOR_HIGH,0
civilization,/ˌsɪvəlaɪˈzeɪʃn/,n. 文明；文化,SENIOR_HIGH,1
aboard,/əˈbɔːd/,adv. 在船/车/飞机上,SENIOR_HIGH,0
negotiate,/nɪˈɡəʊʃieɪt/,v. 谈判；协商,SENIOR_HIGH,0
sensitive,/ˈsensətɪv/,adj. 敏感的；灵敏的,SENIOR_HIGH,0
atmosphere,/ˈætməsfɪə/,n. 大气；气氛,SENIOR_HIGH,1
capture,/ˈkæptʃə/,v. 捕获；俘获,SENIOR_HIGH,0
significance,/sɪɡˈnɪfɪkəns/,n. 意义；重要性,SENIOR_HIGH,1
assess,/əˈses/,v. 评估；评定,SENIOR_HIGH,0
contribute,/kənˈtrɪbjuːt/,v. 贡献；捐献；投稿,SENIOR_HIGH,1
mature,/məˈtʃʊə/,adj. 成熟的；v. 成熟,SENIOR_HIGH,0
accelerate,/əkˈseləreɪt/,v. 加速；促进,SENIOR_HIGH,1
keen,/kiːn/,adj. 热衷的；敏锐的；锋利的,SENIOR_HIGH,0
distinguish,/dɪˈstɪŋɡwɪʃ/,v. 区分；辨别,SENIOR_HIGH,1
abstract,/ˈæbstrækt/,adj. 抽象的；摘要,SENIOR_HIGH,0
intelligence,/ɪnˈtelɪdʒəns/,n. 智力；情报,SENIOR_HIGH,1
capable,/ˈkeɪpəbl/,adj. 有能力的；能胜任的,SENIOR_HIGH,0
participate,/pɑːˈtɪsɪpeɪt/,v. 参加；参与,SENIOR_HIGH,1
career,/kəˈrɪə/,n. 职业；生涯,SENIOR_HIGH,0
consequence,/ˈkɒnsɪkwəns/,n. 结果；后果,SENIOR_HIGH,1
access,/ˈækses/,n. 进入；使用权,SENIOR_HIGH,0
enthusiasm,/ɪnˈθjuːziæzəm/,n. 热情；热忱,SENIOR_HIGH,1
command,/kəˈmɑːnd/,v.&n. 命令；指挥；掌握,SENIOR_HIGH,0
phenomenon,/fɪˈnɒmɪnən/,n. 现象；奇迹,SENIOR_HIGH,1
acquire,/əˈkwaɪə/,v. 获得；习得,SENIOR_HIGH,0
magnificent,/mæɡˈnɪfɪsnt/,adj. 壮丽的；宏伟的,SENIOR_HIGH,1
commit,/kəˈmɪt/,v. 犯（罪）；承诺；投入,SENIOR_HIGH,0
sophisticated,/səˈfɪstɪkeɪtɪd/,adj. 复杂的；精密的,SENIOR_HIGH,1
crash,/kræʃ/,v. 碰撞；坠毁；崩溃,SENIOR_HIGH,0
investigate,/ɪnˈvestɪɡeɪt/,v. 调查；研究,SENIOR_HIGH,1
apparent,/əˈpærənt/,adj. 明显的；表面上的,SENIOR_HIGH,0
recommend,/ˌrekəˈmend/,v. 推荐；建议,SENIOR_HIGH,0
debt,/det/,n. 债务；欠款,SENIOR_HIGH,0
fundamental,/ˌfʌndəˈmentl/,adj. 基本的；根本的,SENIOR_HIGH,1
adjust,/əˈdʒʌst/,v. 调整；适应,SENIOR_HIGH,0
responsible,/rɪˈspɒnsəbl/,adj. 负责的；有责任的,SENIOR_HIGH,1
economy,/ɪˈkɒnəmi/,n. 经济；节约,SENIOR_HIGH,0
symptom,/ˈsɪmptəm/,n. 症状；征兆,SENIOR_HIGH,0
beneficial,/ˌbenɪˈfɪʃl/,adj. 有益的；有利的,SENIOR_HIGH,1
emerge,/iˈmɜːdʒ/,v. 出现；浮现,SENIOR_HIGH,0
temporary,/ˈtemprəri/,adj. 暂时的；临时的,SENIOR_HIGH,0
alternative,/ɔːlˈtɜːnətɪv/,adj. 替代的；n. 选择,SENIOR_HIGH,1
equipment,/ɪˈkwɪpmənt/,n. 设备；装备,SENIOR_HIGH,1
version,/ˈvɜːʃn/,n. 版本；说法,SENIOR_HIGH,0
characteristic,/ˌkærəktəˈrɪstɪk/,adj. 特有的；n. 特征,SENIOR_HIGH,1
essential,/ɪˈsenʃl/,adj. 本质的；必要的,SENIOR_HIGH,0
widespread,/ˈwaɪdspred/,adj. 广泛的；普遍的,SENIOR_HIGH,1
compensate,/ˈkɒmpenseɪt/,v. 补偿；弥补,SENIOR_HIGH,1
evaluate,/ɪˈvæljueɪt/,v. 评价；评估,SENIOR_HIGH,0
withdraw,/wɪðˈdrɔː/,v. 撤回；取款；退出,SENIOR_HIGH,0
conflict,/ˈkɒnflɪkt/,n. 冲突；矛盾,SENIOR_HIGH,0
flexible,/ˈfleksəbl/,adj. 灵活的；柔韧的,SENIOR_HIGH,0
yield,/jiːld/,v. 屈服；产出；n. 产量,SENIOR_HIGH,0
contemporary,/kənˈtemprəri/,adj. 当代的；同时代的,SENIOR_HIGH,1
guarantee,/ˌɡærənˈtiː/,v.&n. 保证；担保,SENIOR_HIGH,0
zone,/zəʊn/,n. 地区；区域；地带,SENIOR_HIGH,0
convenience,/kənˈviːniəns/,n. 便利；方便,SENIOR_HIGH,1
handle,/ˈhændl/,v. 处理；操作；n. 把手,SENIOR_HIGH,0
abundant,/əˈbʌndənt/,adj. 丰富的；充裕的,SENIOR_HIGH,0
convince,/kənˈvɪns/,v. 说服；使确信,SENIOR_HIGH,0
identity,/aɪˈdentəti/,n. 身份；同一性,SENIOR_HIGH,0
acknowledge,/əkˈnɒlɪdʒ/,v. 承认；感谢,SENIOR_HIGH,1
cooperate,/kəʊˈɒpəreɪt/,v. 合作；协作,SENIOR_HIGH,0
