word,phonetic,translation,bookId
deteriorate,/dɪˈtɪəriəreɪt/,v. 恶化; 退化,IELTS,1
predominant,/prɪˈdɒmɪnənt/,adj. 主要的; 占优势的,IELTS,1
asset,/ˈæset/,n. 资产; 优点,IELTS,0
scrutiny,/ˈskruːtəni/,n. 仔细检查; 审视,IELTS,0
implement,/ˈɪmplɪment/,v. 实施; 执行,IELTS,0
proliferation,/prəˌlɪfəˈreɪʃn/,n. 激增; 扩散,IELTS,1
collaborate,/kəˈlæbəreɪt/,v. 合作; 协作,IELTS,1
paradigm,/ˈpærədaɪm/,n. 范例; 模式,IELTS,0
sustainable,/səˈsteɪnəbl/,adj. 可持续的,IELTS,1
depict,/dɪˈpɪkt/,v. 描绘; 描述,IELTS,0
underestimate,/ˌʌndərˈestɪmeɪt/,v. 低估; 轻视,IELTS,1
volatile,/ˈvɒlətaɪl/,adj. 不稳定的; 易挥发的,IELTS,0
distortion,/dɪˈstɔːʃn/,n. 扭曲; 歪曲,IELTS,1
abide,/əˈbaɪd/,v. 遵守; 忍受,IELTS,0
demonstrate,/ˈdemənstreɪt/,v. 证明; 示威,IELTS,1
refute,/rɪˈfjuːt/,v. 驳斥; 反驳,IELTS,0
consolidate,/kənˈsɒlɪdeɪt/,v. 巩固; 合并,IELTS,1
extract,/ˈekstrækt/,v. 提取; 摘录,IELTS,0
counterpart,/ˈkaʊntəpɑːt/,n. 对应的人或物,IELTS,1
levy,/ˈlevi/,v. 征收; 征用,IELTS,0
universal,/ˌjuːnɪˈvɜːsl/,adj. 普遍的; 全体的,IELTS,1
synthesis,/ˈsɪnθəsɪs/,n. 综合; 合成,IELTS,0
inevitable,/ɪnˈevɪtəbl/,adj. 不可避免的,IELTS,1
profound,/prəˈfaʊnd/,adj. 深远的; 渊博的,IELTS,0
intervention,/ˌɪntəˈvenʃn/,n. 干预; 介入,IELTS,1
trivial,/ˈtrɪviəl/,adj. 琐碎的; 不重要的,IELTS,0
accumulate,/əˈkjuːmjəleɪt/,v. 积累; 积聚,IELTS,1
degrade,/dɪˈɡreɪd/,v. 降解; 贬低,IELTS,0
legitimate,/lɪˈdʒɪtɪmət/,adj. 合法的; 合理的,IELTS,1
trigger,/ˈtrɪɡə/,v. 触发; 引发,IELTS,0
fluctuation,/ˌflʌktʃuˈeɪʃn/,n. 波动; 起伏,IELTS,1
deduce,/dɪˈdjuːs/,v. 推断; 演绎,IELTS,0
embrace,/ɪmˈbreɪs/,v. 拥抱; 欣然接受,IELTS,0
constrain,/kənˈstreɪn/,v. 限制; 约束,IELTS,0
hierarchy,/ˈhaɪərɑːki/,n. 等级制度; 层次,IELTS,0
incentive,/ɪnˈsentɪv/,n. 激励; 刺激,IELTS,0
stimulus,/ˈstɪmjələs/,n. 刺激; 激励,IELTS,0
mitigate,/ˈmɪtɪɡeɪt/,v. 减轻; 缓和,IELTS,0
inflation,/ɪnˈfleɪʃn/,n. 通货膨胀,IELTS,1
intensive,/ɪnˈtensɪv/,adj. 密集的; 加强的,IELTS,0
infrastructure,/ˈɪnfrəstrʌktʃə/,n. 基础设施,IELTS,1
radical,/ˈrædɪkl/,adj. 激进的; 根本的,IELTS,0
disseminate,/dɪˈsemɪneɪt/,v. 传播; 散布,IELTS,1
trajectory,/trəˈdʒektəri/,n. 轨迹; 轨道,IELTS,1
exploit,/ɪkˈsplɔɪt/,v. 利用; 开发; 剥削,IELTS,0
interpretation,/ɪnˌtɜːprɪˈteɪʃn/,n. 解释; 演绎,IELTS,1
coherent,/kəʊˈhɪərənt/,adj. 连贯的; 一致的,IELTS,0
vulnerability,/ˌvʌlnərəˈbɪləti/,n. 脆弱性; 弱点,IELTS,1
prosecute,/ˈprɒsɪkjuːt/,v. 起诉; 检举,IELTS,0
stagnant,/ˈstæɡnənt/,adj. 停滞的; 不景气的,IELTS,0
urbanization,/ˌɜːbənaɪˈzeɪʃn/,n. 城市化,IELTS,1
indigenous,/ɪnˈdɪdʒənəs/,adj. 本土的; 土著的,IELTS,1
endeavor,/ɪnˈdevə/,v./n. 努力; 尽力,IELTS,0
literacy,/ˈlɪtərəsi/,n. 读写能力; 文化水平,IELTS,0
reinforce,/ˌriːɪnˈfɔːs/,v. 加强; 增援,IELTS,1
affluent,/ˈæfluənt/,adj. 富裕的; 富足的,IELTS,0
contaminate,/kənˈtæmɪneɪt/,v. 污染; 弄脏,IELTS,1
pledge,/pledʒ/,v. 保证; 许诺,IELTS,0
diversification,/daɪˌvɜːsɪfɪˈkeɪʃn/,n. 多样化,IELTS,1
deficit,/ˈdefɪsɪt/,n. 赤字; 不足,IELTS,0
connotation,/ˌkɒnəˈteɪʃn/,n. 含义; 暗含的意思,IELTS,1
comply,/kəmˈplaɪ/,v. 遵守; 服从,IELTS,0
sophisticated,/səˈfɪstɪkeɪtɪd/,adj. 复杂的; 精密的,IELTS,1
displace,/dɪsˈpleɪs/,v. 取代; 迫使离开,IELTS,0
obesity,/əʊˈbiːsəti/,n. 肥胖; 过度肥胖,IELTS,0
chronic,/ˈkrɒnɪk/,adj. 慢性的; 长期的,IELTS,0
speculation,/ˌspekjuˈleɪʃn/,n. 推测; 投机,IELTS,1
apparatus,/ˌæpəˈreɪtəs/,n. 仪器; 设备,IELTS,1
converge,/kənˈvɜːdʒ/,v. 汇聚; 集中,IELTS,0
adolescence,/ˌædəˈlesns/,n. 青春期; 青少年时期,IELTS,1
intrinsic,/ɪnˈtrɪnsɪk/,adj. 内在的; 固有的,IELTS,0
mediation,/ˌmiːdiˈeɪʃn/,n. 调解; 斡旋,IELTS,1
skeptical,/ˈskeptɪkl/,adj. 怀疑的; 不相信的,IELTS,0
moratorium,/ˌmɒrəˈtɔːriəm/,n. 暂停; 中止,IELTS,1
exceed,/ɪkˈsiːd/,v. 超过; 超越,IELTS,0
subsidize,/ˈsʌbsɪdaɪz/,v. 补贴; 资助,IELTS,0
prominent,/ˈprɒmɪnənt/,adj. 重要的; 著名的,IELTS,0
transmission,/trænsˈmɪʃn/,n. 传输; 传播,IELTS,1
induce,/ɪnˈdjuːs/,v. 诱导; 引起,IELTS,0
autonomy,/ɔːˈtɒnəmi/,n. 自治; 自主权,IELTS,0
longevity,/lɒnˈdʒevəti/,n. 长寿; 持久,IELTS,1
erratic,/ɪˈrætɪk/,adj. 不稳定的; 古怪的,IELTS,0
advocate,/ˈædvəkeɪt/,v. 提倡; 拥护,IELTS,0
precaution,/prɪˈkɔːʃn/,n. 预防; 防范,IELTS,1
denounce,/dɪˈnaʊns/,v. 谴责; 指责,IELTS,0
pessimistic,/ˌpesɪˈmɪstɪk/,adj. 悲观的,IELTS,1
arrogant,/ˈærəɡənt/,adj. 傲慢的; 自大的,IELTS,0
notion,/ˈnəʊʃn/,n. 概念; 观念,IELTS,0
anthropology,/ˌænθrəˈpɒlədʒi/,n. 人类学,IELTS,1
confer,/kənˈfɜː/,v. 授予; 商讨,IELTS,0
congestion,/kənˈdʒestʃən/,n. 拥挤; 堵塞,IELTS,1
saturate,/ˈsætʃəreɪt/,v. 使饱和; 浸透,IELTS,0
preservation,/ˌprezəˈveɪʃn/,n. 保存; 保护,IELTS,1
rigid,/ˈrɪdʒɪd/,adj. 僵化的; 严格的,IELTS,0
decentralize,/ˌdiːˈsentrəlaɪz/,v. 分散; 下放权力,IELTS,1
simulate,/ˈsɪmjuleɪt/,v. 模拟; 假装,IELTS,0
peninsula,/pəˈnɪnsjələ/,n. 半岛,IELTS,1
grant,/ɡrɑːnt/,v. 授予; 承认 n. 拨款,IELTS,0
