word,phonetic,translation,bookId
abandon,/əˈbændən/,v. 抛弃；放弃,TOEFL,0
hierarchy,/ˈhaɪərɑːki/,n. 等级制度；层次,TOEFL,0
phenomenon,/fɪˈnɒmɪnən/,n. 现象；奇迹,TOEFL,1
ambiguous,/æmˈbɪɡjuəs/,adj. 模棱两可的；含糊的,TOEFL,0
simulate,/ˈsɪmjuleɪt/,v. 模拟；假装,TOEFL,0
infrastructure,/ˈɪnfrəstrʌktʃə/,n. 基础设施,TOEFL,1
commodity,/kəˈmɒdəti/,n. 商品；货物,TOEFL,0
deteriorate,/dɪˈtɪəriəreɪt/,v. 恶化；退化,TOEFL,1
rigid,/ˈrɪdʒɪd/,adj. 僵化的；严格的,TOEFL,0
predominant,/prɪˈdɒmɪnənt/,adj. 主要的；占优势的,TOEFL,1
erosion,/ɪˈrəʊʒn/,n. 侵蚀；腐蚀,TOEFL,0
inflation,/ɪnˈfleɪʃn/,n. 通货膨胀；膨胀,TOEFL,1
devise,/dɪˈvaɪz/,v. 设计；发明,TOEFL,0
sophisticated,/səˈfɪstɪkeɪtɪd/,adj. 复杂的；精密的,TOEFL,1
core,/kɔː/,n. 核心；要点,TOEFL,0
fluctuate,/ˈflʌktʃueɪt/,v. 波动；起伏,TOEFL,0
cumulative,/ˈkjuːmjələtɪv/,adj. 累积的,TOEFL,0
confront,/kənˈfrʌnt/,v. 面对；对抗,TOEFL,0
legislation,/ˌledʒɪsˈleɪʃn/,n. 立法；法规,TOEFL,1
profound,/prəˈfaʊnd/,adj. 深远的；渊博的,TOEFL,0
bias,/ˈbaɪəs/,n. 偏见；偏心,TOEFL,0
exploitation,/ˌeksplɔɪˈteɪʃn/,n. 开发；剥削,TOEFL,1
saturate,/ˈsætʃəreɪt/,v. 使饱和；浸透,TOEFL,0
depict,/dɪˈpɪkt/,v. 描绘；描述,TOEFL,0
implement,/ˈɪmplɪment/,v. 实施；执行,TOEFL,0
paradigm,/ˈpærədaɪm/,n. 范例；模式,TOEFL,0
constrain,/kənˈstreɪn/,v. 限制；约束,TOEFL,0
diversification,/daɪˌvɜːsɪfɪˈkeɪʃn/,n. 多样化,TOEFL,1
scarcity,/ˈskeəsəti/,n. 稀缺；不足,TOEFL,0
counterpart,/ˈkaʊntəpɑːt/,n. 对应的人或物,TOEFL,1
explicit,/ɪkˈsplɪsɪt/,adj. 明确的；直言的,TOEFL,0
speculation,/ˌspekjuˈleɪʃn/,n. 推测；投机,TOEFL,1
vulnerable,/ˈvʌlnərəbl/,adj. 易受伤的；脆弱的,TOEFL,0
sustainable,/səˈsteɪnəbl/,adj. 可持续的,TOEFL,1
yield,/jiːld/,v. 屈服；产出；n. 产量,TOEFL,0
correlation,/ˌkɒrəˈleɪʃn/,n. 相关；关联,TOEFL,1
radical,/ˈrædɪkl/,adj. 激进的；根本的,TOEFL,0
advocate,/ˈædvəkeɪt/,v. 提倡；拥护,TOEFL,0
moratorium,/ˌmɒrəˈtɔːriəm/,n. 暂停；中止,TOEFL,1
denounce,/dɪˈnaʊns/,v. 谴责；指责,TOEFL,0
prerequisite,/ˌpriːˈrekwəzɪt/,n. 先决条件,TOEFL,1
compensate,/ˈkɒmpenseɪt/,v. 补偿；弥补,TOEFL,1
trigger,/ˈtrɪɡə/,v. 触发；引发,TOEFL,0
propagate,/ˈprɒpəɡeɪt/,v. 传播；繁殖,TOEFL,0
magnitude,/ˈmæɡnɪtjuːd/,n. 大小；重要性,TOEFL,0
autonomy,/ɔːˈtɒnəmi/,n. 自治；自主权,TOEFL,0
consolidate,/kənˈsɒlɪdeɪt/,v. 巩固；合并,TOEFL,1
discrete,/dɪˈskriːt/,adj. 离散的；分离的,TOEFL,0
ecosystem,/ˈiːkəʊsɪstəm/,n. 生态系统,TOEFL,1
incentive,/ɪnˈsentɪv/,n. 激励；刺激,TOEFL,0
mitigate,/ˈmɪtɪɡeɪt/,v. 减轻；缓和,TOEFL,0
pessimistic,/ˌpesɪˈmɪstɪk/,adj. 悲观的,TOEFL,1
amend,/əˈmend/,v. 修改；修订,TOEFL,0
segregation,/ˌseɡrɪˈɡeɪʃn/,n. 隔离；分离,TOEFL,1
connotation,/ˌkɒnəˈteɪʃn/,n. 含义；暗含的意思,TOEFL,1
bizarre,/bɪˈzɑː/,adj. 奇异的；古怪的,TOEFL,0
disseminate,/dɪˈsemɪneɪt/,v. 传播；散布,TOEFL,1
cynical,/ˈsɪnɪkl/,adj. 愤世嫉俗的,TOEFL,0
scrutiny,/ˈskruːtəni/,n. 仔细检查；审视,TOEFL,0
stationary,/ˈsteɪʃənri/,adj. 静止的；固定的,TOEFL,1
optimum,/ˈɒptɪməm/,adj. 最佳的；最适宜的,TOEFL,0
inherently,/ɪnˈhɪərəntli/,adv. 固有地；天生地,TOEFL,1
ultimately,/ˈʌltɪmətli/,adv. 最终；根本上,TOEFL,1
interpret,/ɪnˈtɜːprɪt/,v. 解释；口译,TOEFL,0
contaminate,/kənˈtæmɪneɪt/,v. 污染；弄脏,TOEFL,1
reflect,/rɪˈflekt/,v. 反射；反映；反思,TOEFL,0
dominance,/ˈdɒmɪnəns/,n. 支配；优势,TOEFL,0
manipulate,/məˈnɪpjuleɪt/,v. 操纵；控制,TOEFL,1
evolve,/iˈvɒlv/,v. 进化；发展,TOEFL,0
homogeneous,/ˌhɒməˈdʒiːniəs/,adj. 同质的；同类的,TOEFL,1
baffle,/ˈbæfl/,v. 使困惑；难倒,TOEFL,0
peripheral,/pəˈrɪfərəl/,adj. 外围的；次要的,TOEFL,1
prohibit,/prəˈhɪbɪt/,v. 禁止；阻止,TOEFL,0
extinction,/ɪkˈstɪŋkʃn/,n. 灭绝；消亡,TOEFL,1
monopoly,/məˈnɒpəli/,n. 垄断；独占,TOEFL,0
imperative,/ɪmˈperətɪv/,adj. 必要的；命令的,TOEFL,1
refute,/rɪˈfjuːt/,v. 驳斥；反驳,TOEFL,0
longevity,/lɒnˈdʒevəti/,n. 长寿；持久,TOEFL,1
proliferate,/prəˈlɪfəreɪt/,v. 激增；扩散,TOEFL,1
subside,/səbˈsaɪd/,v. 平息；减弱；下沉,TOEFL,0
elaborate,/ɪˈlæbərət/,v. 详细阐述；adj. 精巧的,TOEFL,0
transient,/ˈtrænziənt/,adj. 短暂的；暂时的,TOEFL,0
dilute,/daɪˈluːt/,v. 稀释；削弱,TOEFL,0
catastrophe,/kəˈtæstrəfi/,n. 灾难；大祸,TOEFL,1
feasible,/ˈfiːzəbl/,adj. 可行的；可能的,TOEFL,0
loom,/luːm/,v. 隐约出现；逼近,TOEFL,0
inference,/ˈɪnfərəns/,n. 推断；推论,TOEFL,0
precipitate,/prɪˈsɪpɪteɪt/,v. 促成；加速；沉淀,TOEFL,1
obsolete,/ˈɒbsəliːt/,adj. 过时的；废弃的,TOEFL,0
immense,/ɪˈmens/,adj. 巨大的；极大的,TOEFL,0
dwindle,/ˈdwɪndl/,v. 缩小；减少,TOEFL,0
detrimental,/ˌdetrɪˈmentl/,adj. 有害的；不利的,TOEFL,1
robust,/rəʊˈbʌst/,adj. 强健的；鲁棒的,TOEFL,0
ubiquitous,/juːˈbɪkwɪtəs/,adj. 无处不在的,TOEFL,1
