word,phonetic,translation,bookId
brave,/breɪv/,adj. 勇敢的,JUNIOR_HIGH,0
celebrate,/ˈselɪbreɪt/,v. 庆祝；赞美,JUNIOR_HIGH,0
abroad,/əˈbrɔːd/,adv. 到国外；在国外,JUNIOR_HIGH,0
dictionary,/ˈdɪkʃənri/,n. 字典；词典,JUNIOR_HIGH,1
active,/ˈæktɪv/,adj. 活跃的；积极的,JUNIOR_HIGH,0
environment,/ɪnˈvaɪrənmənt/,n. 环境,JUNIOR_HIGH,1
allow,/əˈlaʊ/,v. 允许；准许,JUNIOR_HIGH,0
energy,/ˈenədʒi/,n. 能量；精力,JUNIOR_HIGH,0
achieve,/əˈtʃiːv/,v. 实现；达到,JUNIOR_HIGH,0
communicate,/kəˈmjuːnɪkeɪt/,v. 交流；沟通,JUNIOR_HIGH,1
capital,/ˈkæpɪtl/,n. 首都；资本；大写字母,JUNIOR_HIGH,0
experience,/ɪkˈspɪəriəns/,n. 经验；体验,JUNIOR_HIGH,1
calm,/kɑːm/,adj. 冷静的；平静的,JUNIOR_HIGH,0
accident,/ˈæksɪdənt/,n. 事故；意外,JUNIOR_HIGH,0
encourage,/ɪnˈkʌrɪdʒ/,v. 鼓励；激励,JUNIOR_HIGH,0
address,/əˈdres/,n. 地址,JUNIOR_HIGH,0
difference,/ˈdɪfrəns/,n. 差异；不同,JUNIOR_HIGH,1
breath,/breθ/,n. 呼吸；气息,JUNIOR_HIGH,0
especially,/ɪˈspeʃəli/,adv. 尤其；特别,JUNIOR_HIGH,1
cause,/kɔːz/,v. 导致；引起 n. 原因,JUNIOR_HIGH,0
beautiful,/ˈbjuːtɪfl/,adj. 美丽的；漂亮的,JUNIOR_HIGH,0
difficult,/ˈdɪfɪkəlt/,adj. 困难的；难懂的,JUNIOR_HIGH,0
connect,/kəˈnekt/,v. 连接；联系,JUNIOR_HIGH,0
avoid,/əˈvɔɪd/,v. 避免；回避,JUNIOR_HIGH,0
direction,/dəˈrekʃn/,n. 方向；指导,JUNIOR_HIGH,1
army,/ˈɑːmi/,n. 军队；陆军,JUNIOR_HIGH,0
education,/ˌedʒuˈkeɪʃn/,n. 教育；培养,JUNIOR_HIGH,1
bitter,/ˈbɪtə/,adj. 苦的；痛苦的,JUNIOR_HIGH,0
disappear,/ˌdɪsəˈpɪə/,v. 消失；不见,JUNIOR_HIGH,1
agree,/əˈɡriː/,v. 同意；赞成,JUNIOR_HIGH,0
develop,/dɪˈveləp/,v. 发展；开发；培养,JUNIOR_HIGH,0
effort,/ˈefət/,n. 努力；尽力,JUNIOR_HIGH,0
believe,/bɪˈliːv/,v. 相信；认为,JUNIOR_HIGH,0
evidence,/ˈevɪdəns/,n. 证据；迹象,JUNIOR_HIGH,0
blind,/blaɪnd/,adj. 盲的；失明的,JUNIOR_HIGH,0
explain,/ɪkˈspleɪn/,v. 解释；说明,JUNIOR_HIGH,0
collect,/kəˈlekt/,v. 收集；采集,JUNIOR_HIGH,0
angry,/ˈæŋɡri/,adj. 生气的；愤怒的,JUNIOR_HIGH,0
article,/ˈɑːtɪkl/,n. 文章；冠词,JUNIOR_HIGH,0
exactly,/ɪɡˈzæktli/,adv. 精确地；恰好,JUNIOR_HIGH,0
double,/ˈdʌbl/,adj. 双倍的；成对的,JUNIOR_HIGH,0
benefit,/ˈbenɪfɪt/,n. 好处；益处 v. 受益,JUNIOR_HIGH,0
destroy,/dɪˈstrɔɪ/,v. 破坏；摧毁,JUNIOR_HIGH,0
example,/ɪɡˈzɑːmpl/,n. 例子；榜样,JUNIOR_HIGH,0
appear,/əˈpɪə/,v. 出现；显得,JUNIOR_HIGH,0
character,/ˈkærəktə/,n. 角色；性格；字符,JUNIOR_HIGH,0
doubt,/daʊt/,n.&v. 怀疑；疑问,JUNIOR_HIGH,0
afraid,/əˈfreɪd/,adj. 害怕的；担心的,JUNIOR_HIGH,0
distance,/ˈdɪstəns/,n. 距离；远方,JUNIOR_HIGH,0
courage,/ˈkʌrɪdʒ/,n. 勇气；胆量,JUNIOR_HIGH,0
ancient,/ˈeɪnʃənt/,adj. 古代的；古老的,JUNIOR_HIGH,0
complete,/kəmˈpliːt/,v. 完成 adj. 完整的,JUNIOR_HIGH,0
